RID,Weights,Segment,Brand,Buy Client's Brand,Average price pay for the yogurt most typically purchased,Price Paid Range,Price Mid-Point,Number of Units Purchased,Number of Units Purchased Groups,Where Typically Purchase Yogurt,Store where typically buy yogurt,How many times per week eat last yogurt purchased,Time of day eat yogurt: Before breakfast,Time of day eat yogurt: At breakfast,Time of day eat yogurt: Mid-morning,Time of day eat yogurt: At lunch,Time of day eat yogurt: Mid-afternoon,Time of day eat yogurt: At dinner,Time of day eat yogurt: After dinner/early evening,Time of day eat yogurt: Before going to bed,Breakfast,Lunch,Dinner,Snack,Banana,Blueberry,Boysenberry,Strawberry,Vanilla,Coffee,Raspberry,Price Importance,Brand Name Importance,Fat Content Importance,Calorie Content Importance,Diet Fad Importance,Organic Importance,Non-Dairy Importance,Flavor Importance,Creaminess Importance,Dietary Fiber Content Importance,Vitamin D Fortified Importance,Price Satisfied,Brand Name Satisfied,Fat Content Satisfied,Calorie Content Satisfied,Diet Fad Satisfied,Organic Satisfied,Non-Dairy Satisfied,Flavor Satisfied,Creaminess Satisfied,Dietary Fiber Satisfied,Vitamin D Fortified Satisfied,Satisfied,Recommand,Purchase Again,Gender,Age,Ethnicity,Education,Employment Status,Household Income,Descriptive Word,x
68,203008.497,Normal Food Consumer,Major Competitor,Not Buy,$1.07,$1.10 - $1.19,$1.15,7,Medium,Locally Owned Grocery Store,Warehouse Store,3,Yes,Yes,Yes,No,Yes,No,Yes,No,1,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Some College (no degree),Employed as a mid-level manager,"$25,000 - $39,999",Variety,Female
70,72375.3722,Normal Food Consumer,C,Not Buy,$1.38,$1.10 - $1.19,$1.15,6,Medium,Locally Owned Grocery Store,Warehouse Store,6,No,No,Yes,Yes,No,No,No,Yes,0,1,0,1,No,Yes,Yes,No,No,No,No,Neither important nor unimportant,Extremely important,Extremely unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,61 to 67 years old,Asian,Bachelors Degree,"Employed, but not at a management level","$25,000 - $39,999",Flavourful,Male
71,140135.556,Dessert Lover,Client,Buy,$1.11,$1.50 - $1.59,$1.55,7,Medium,Shopping Club,Convenience Store,6,No,Yes,No,No,Yes,Yes,Yes,No,1,0,1,1,No,Yes,Yes,Yes,Yes,No,No,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Male,36 to 40 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$40,000 - $49,999",Tasty,Male
77,94397.1545,Normal Food Consumer,Client,Buy,$1.51,$1.10 - $1.19,$1.15,4,Low,Mass Discount Retailer,Local Grocery Store,2,No,Yes,No,No,No,Yes,No,Yes,1,0,1,0,No,No,Yes,Yes,Yes,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Some College (no degree),"Employed, but not at a management level","$60,000 - $74,999",Smooth,Male
82,94397.1545,Health-Conscious,Client,Buy,$1.51,$1.00 - $1.09,$1.05,5,Low,Locally Owned Grocery Store,Convenience Store,4,No,Yes,Yes,No,No,No,No,Yes,1,0,0,1,No,No,Yes,Yes,No,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,68 years old and over,African-American,Bachelors Degree,Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Delicious,Female
86,9660.25904,Dessert Lover,D,Not Buy,$1.23,$1.00 - $1.09,$1.05,8,Medium,National Health Food Store,Convenience Store,1,No,No,Yes,Yes,No,No,No,No,0,1,0,0,No,Yes,No,Yes,No,No,Yes,Extremely unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Some College (no degree),Employed as a mid-level manager,"$40,000 - $49,999",Delicious,Female
87,90579.7452,Health-Conscious,C,Not Buy,$1.79,$1.50 - $1.59,$1.55,4,Low,Shopping Club,Local Grocery Store,3,No,Yes,Yes,Yes,No,No,No,Yes,1,1,0,1,Yes,No,No,No,No,No,Yes,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Male
92,72375.3722,Health Fanatic,Major Competitor,Not Buy,$1.02,$1.30 - $1.39,$1.35,9,High,National Grocery Chain Store,Warehouse Store,4,No,Yes,No,No,No,No,No,Yes,1,0,0,0,No,No,No,No,Yes,Yes,No,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Somewhat Likely,Male,36 to 40 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Male
93,109584.202,Health-Conscious,C,Not Buy,$1.11,$1.00 - $1.09,$1.05,7,Medium,Other,Warehouse Store,1,No,Yes,Yes,Yes,No,No,Yes,Yes,1,1,0,1,No,Yes,No,No,No,Yes,Yes,Extremely unimportant,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely unimportant,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Not at all Satisfied,Will Definitely Recommand,Neither Likely nor Unlikely,Female,68 years old and over,African-American,Bachelors Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
94,30674.6483,Health-Conscious,Major Competitor,Not Buy,$1.13,$1.70 or more,$1.75,7,Medium,Locally Owned Grocery Store,Local Grocery Store,8,No,No,No,No,No,No,Yes,No,0,0,0,0,No,No,Yes,No,No,No,Yes,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Extremely unimportant,Only somewhat important,Extremely important,Extremely important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,68 years old and over,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Tasty,Female
96,90689.9436,Health-Conscious,Major Competitor,Not Buy,$1.13,$1.00 - $1.09,$1.05,7,Medium,National Health Food Store,Convenience Store,4,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,No,No,Yes,No,No,No,Yes,Only somewhat important,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Associate Degree,Retired,"$25,000 - $39,999",Healthy,Female
98,140135.556,Normal Food Consumer,C,Not Buy,$1.34,$1.00 - $1.09,$1.05,5,Low,National Health Food Store,Convenience Store,5,No,Yes,Yes,No,No,No,No,Yes,1,0,0,1,No,Yes,Yes,Yes,No,No,No,Neither important nor unimportant,Only somewhat important,Extremely unimportant,Extremely important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely important,Extremely unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,61 to 67 years old,African-American,High School Graduate or equivalent,Employed as a mid-level manager,"$25,000 - $39,999",Flavourful,Female
102,86439.4821,Normal Food Consumer,C,Not Buy,$1.35,$1.70 or more,$1.75,6,Medium,Other,Local Grocery Store,2,No,No,No,Yes,No,No,No,Yes,0,1,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Extremely unimportant,Extremely important,Extremely unimportant,Neither important nor unimportant,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,36 to 40 years old,African-American,Bachelors Degree,Retired,"$50,000 - $59,999",Flavourful,Male
103,72375.3722,Health-Conscious,Major Competitor,Not Buy,$1.15,$1.00 - $1.09,$1.05,7,Medium,National Grocery Chain Store,Convenience Store,6,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,No,Yes,No,No,No,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely unimportant,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,18 to 35 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$40,000 - $49,999",Delicious,Female
108,89992.622,Normal Food Consumer,Client,Buy,$1.34,$1.50 - $1.59,$1.55,6,Medium,Locally Owned Health Food Store,Local Grocery Store,3,No,Yes,Yes,No,No,Yes,Yes,No,1,0,1,1,No,Yes,Yes,No,No,Yes,Yes,Only somewhat unimportant,Only somewhat important,Only somewhat unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Male,41 to 50 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Delicious,Male
109,90579.7452,Normal Food Consumer,C,Not Buy,$1.16,$1.70 or more,$1.75,7,Medium,National Grocery Chain Store,Convenience Store,2,Yes,No,Yes,Yes,No,No,No,No,0,1,0,1,No,Yes,Yes,No,No,No,Yes,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Extremely Likely,Male,36 to 40 years old,African-American,Bachelors Degree,Retired,"$60,000 - $74,999",Flavourful,Male
110,94397.1545,Dessert Lover,E,Not Buy,$1.19,$1.10 - $1.19,$1.15,8,Medium,Drug Store,Convenience Store,3,No,Yes,Yes,Yes,Yes,No,No,No,1,1,0,1,No,Yes,Yes,No,Yes,No,Yes,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Male,61 to 67 years old,Caucasian,Bachelors Degree,Retired,"$24,999 or less",Delicious,Male
111,195504.901,Normal Food Consumer,C,Not Buy,$1.28,$1.10 - $1.19,$1.15,6,Medium,Locally Owned Grocery Store,Local Grocery Store,6,No,Yes,Yes,Yes,No,No,Yes,Yes,1,1,0,1,No,Yes,No,Yes,No,Yes,No,Extremely important,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Somewhat Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Retired,Decline to answer,Tasty,Female
112,72375.3722,Normal Food Consumer,C,Not Buy,$1.21,$1.10 - $1.19,$1.15,7,Medium,Locally Owned Grocery Store,Local Grocery Store,6,No,No,Yes,No,Yes,No,Yes,No,0,0,0,1,No,Yes,No,No,No,No,No,Extremely unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Extremely unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Male,68 years old and over,African-American,Graduate or Professional Degree,Own your own business,"$50,000 - $59,999",Tasty,Male
126,72375.3722,Normal Food Consumer,G,Not Buy,$1.07,$1.10 - $1.19,$1.15,9,High,Mass Discount Retailer,Health Food Store,7,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,Yes,Yes,Yes,No,Yes,No,No,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,May Not Recommand,Extremely Likely,Male,61 to 67 years old,Caucasian,Some College (no degree),Retired,"$100,000 - $149,999",Delicious,Male
128,14119.7723,Dessert Lover,Client,Buy,$1.26,$1.50 - $1.59,$1.55,6,Medium,National Grocery Chain Store,Convenience Store,4,No,No,Yes,No,No,No,No,No,0,0,0,0,No,Yes,Yes,Yes,No,No,No,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Male,68 years old and over,African-American,Some College (no degree),"Employed, but not at a management level","$40,000 - $49,999",Delicious,Male
129,90579.7452,Normal Food Consumer,C,Not Buy,$1.20,$1.10 - $1.19,$1.15,6,Medium,Mass Discount Retailer,Convenience Store,2,Yes,No,No,Yes,No,No,No,No,0,1,0,0,No,No,Yes,No,No,No,Yes,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Some College (no degree),Retired,"$25,000 - $39,999",Delicious,Female
131,72375.3722,Normal Food Consumer,Client,Buy,$1.07,$1.20 - $1.29,$1.25,8,High,Other,Local Grocery Store,3,No,Yes,Yes,No,Yes,No,Yes,Yes,1,0,0,1,No,Yes,No,No,No,No,Yes,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,68 years old and over,African-American,Bachelors Degree,Retired,"$50,000 - $59,999",Delicious,Male
139,35519.7837,Health-Conscious,C,Not Buy,$1.15,$1.00 - $1.09,$1.05,6,Medium,Mass Discount Retailer,Convenience Store,5,No,Yes,No,Yes,Yes,No,No,No,1,1,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,51 to 60 years old,African-American,High School Graduate or equivalent,"Employed, but not at a management level","$25,000 - $39,999",Variety,Female
140,163023.916,Normal Food Consumer,C,Not Buy,$1.13,$1.00 - $1.09,$1.05,7,Medium,Shopping Club,Convenience Store,4,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,No,Yes,Yes,Yes,No,Yes,No,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Extremely unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$25,000 - $39,999",Tasty,Female
142,90579.7452,Normal Food Consumer,Major Competitor,Not Buy,$1.06,$1.20 - $1.29,$1.25,8,Medium,Locally Owned Grocery Store,Convenience Store,1,Yes,No,Yes,Yes,No,No,No,No,0,1,0,1,No,Yes,No,Yes,No,No,Yes,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Male,41 to 50 years old,African-American,Graduate or Professional Degree,Retired,"$50,000 - $59,999",Delicious,Male
147,140135.556,Normal Food Consumer,Client,Buy,$1.24,$1.10 - $1.19,$1.15,6,Medium,Convenience Store,Local Grocery Store,3,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,Yes,No,No,No,Yes,No,Yes,Extremely important,Extremely important,Extremely unimportant,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Extremely unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Male,68 years old and over,Caucasian,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Variety,Male
148,112628.212,Normal Food Consumer,Client,Buy,$1.19,$1.30 - $1.39,$1.35,7,Medium,Locally Owned Grocery Store,Local Grocery Store,4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,0,1,1,No,Yes,Yes,No,No,No,No,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Only somewhat unimportant,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Not at all Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$50,000 - $59,999",Delicious,Male
151,129122.079,Health-Conscious,Client,Buy,$1.42,$1.00 - $1.09,$1.05,6,Medium,Other,Warehouse Store,3,No,No,Yes,No,No,No,Yes,No,0,0,0,1,Yes,Yes,No,No,No,Yes,Yes,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Neither Likely nor Unlikely,Female,41 to 50 years old,African-American,Graduate or Professional Degree,"Other, please specify:","$50,000 - $59,999",Healthy,Female
154,72375.3722,Normal Food Consumer,Client,Buy,$1.22,$1.10 - $1.19,$1.15,7,Medium,Mass Discount Retailer,Convenience Store,4,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,Yes,Yes,No,No,Yes,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Somewhat Likely,Male,68 years old and over,African-American,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Satisfying,Male
158,72375.3722,Normal Food Consumer,D,Not Buy,$1.10,$1.30 - $1.39,$1.35,7,Medium,Locally Owned Grocery Store,Local Grocery Store,2,No,Yes,Yes,Yes,No,Yes,No,Yes,1,1,1,1,Yes,Yes,No,No,Yes,No,No,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,68 years old and over,Other,High School Graduate or equivalent,Retired,"$25,000 - $39,999",Variety,Female
